reviewer_id,review,anotacao,recommend_to_a_friend,site_category_lv1,reviewer_birth_year,reviewer_gender,overall_rating
c2b3ebfc9238e1462555a7e36539a078c6fb85e5438e398a993a5381cee79d0e,"Agilidade e configuração Produto bom,imagem e sons perfeitos porem da umas travadinhas. custo beneficio compensa Comprei na black friday",positivo + negativo,Yes,Informática,1899,M,3
1345ab31c9fa498aac8dd78b1c1069a056f237e20fdba76d30f3fa5e9fb3a23b,"Atende as expectativas Tinha outra fritadeira de outra marca, nessa senti falta de um alarme sonoro que soava quando dava o tempo de cocção, mas tá sendo bom até agora.",positivo + negativo,Yes,Eletroportáteis,1900,F,3
b68330385cc203b6e8249f796d592ae6173df1adda5ae3a8fe427f7c1763a382,"Bom filme! Filme para assistir e curtir com a família. As lutas entre os vingadores cansam um pouco, mas os efeitos especiais compensam. Diferentemente da crítica especializada da época, não acho ""um dos melhores"" da saga. ""Soldado invernal"" é bem, mas muito, melhor!",positivo + negativo,Yes,Filmes e Séries,1906,M,3
ed921e3d758d33b09938bb46d932c3cdbef9f821b68a0ee11a7bc2fe4a27431c,"Produto com bom acabamento Recomendo o produto, pois tem um bom acabamento! Comprem",positivo,Yes,Móveis,1908,M,3
dd8279ea157b3802bb5b68a2fb647595178e941f8893867cbde482156ce62efe,"pelo preço ta  otimo 3 calças 30 reais show de bola , muito bom economizar e a qualidade da calça tbm é boa!",positivo,Yes,Moda,1924,F,3
2ab1e724fe0a1fd6154769d69e8644f5088d0d7b7499aa168699962baa52bc79,"Bom produto Não é tão potente mas ventila o suficiente, único ponto negativo muito frágil não é muito firme ó pedestal",positivo + negativo,Yes,Ar-condicionado e Aquecedores,1928,F,3
01b2e7b07de4edf9872bc526d358c99726a7ee74ee617e46d73962a7f7a3afd3,"Atende as expectativas Entrega rápida, produto atende minhas expectativas",positivo,Yes,Casa e Construção,1929,M,3
78cb697be9d58bc139a07a4fd9f6662b4c160156471807993b483cec53e6b4f0,"Produto ótimo Gostei muito das panelas vieram bem embaladas a entrega foi dentro do prazo estabelecido preço justo, recomendo a compra pra todos",positivo,Yes,Utilidades Domésticas,1933,M,3
558c92b1495dbbb7220c277a8c1ee76fe1983c60900749d9f1bb3a0cde682626,"produto bom, facil de manusear Gostei da compra e recomendo o fornecedor,cumpriu o prazo de entrega e o produto veio bem embalado",positivo,Yes,Casa e Construção,1934,F,3
0bc73d5b36e5b44f2287a74955a9a5f1e18785cc775e040c6129dc58e492f0f1,"Celular é bom Meus filhos gostaram do celular. Comprei pra eles, que ficaram satisfeitos com o celular, o visor é claro, a máquina fotográfica é muito boa.",positivo,Yes,Celulares e Smartphones,1938,F,3
a1eb382df6c18bd07e67f86751ccd9663c6129722e04c3c3f9197f659b199a94,CONHECER MELHOR O PRODUTO GOSTARIA DE SABER SE POSSO USA-LA COM UM RECEIVER  DE QUALIDADE QUE TEM ENTRADA PARA TOCA DISCOS OU SEJA A SAIDA AUXILIAR DELA É COMPATIVEL COM UM RECEIVER TIPO MARAANTZ.,neutro,Yes,Áudio,1938,M,3
536909e7c82f9bb95089719158d2cf93f0b335d0696f2461189b26b0888ddfae,Produto razoavelmente bom A centrifuga funciona mas é um pouco pesada para girar,positivo + negativo,Yes,Utilidades Domésticas,1938,M,3
c1ac5373e9a3736d3a4dd432a22ddc4ff2bef588f4f7e8126e90aba1112b614b,"Muito bom Ultimamente venho comprando este produto, e não tenho reclamações a fazer, pois sem muito uso, o mesmo tem sido muito econômico.",positivo,Yes,Informática e Acessórios,1939,F,3
3a03d8987891a9e3a1d80ebb242cdd521e1b3de70a2876a7ff67a576501bea93,"o produto é bom, já conheço, mas a entrega é PÉSSIMA!!!! Fiquei muito decepcionada com a americanas no atendimento a este pedido.  Havia realizado o pedido no dia 20-03-2018 e aguardei até 17-042018 quando já havia inclusive feito o cancelamento (parece que apenas depois deste que agilizaram a entrega. Não pretendo comprar no site da americanas NUNCA MAIS!!!!",positivo + negativo,Yes,Música,1939,F,3
281cc6be73e80adb85cfcf2662fc170ca24c5206491f82e1da7993529f3463ca,"Vassoura Nova Varre Bem É dificil avaliar uma geladeira após poucos dias de uso. A aparência é excelente. Até aqui funcionou sem problemas. Esta nova geladeira substituiu uma Consul, também de ótima aparência inicial, mas que teve que ser literalmente jogada fora após menos de quatro anos de uso e dois reparos caros, fora da garantia. O fato é que os produtores, na sua ânsia de forçar a obsolescência e gerar novas vendas, fazem cada vez mais produtos de má qualidade. No caso desta nova geladeira Eletrolux optei por comprar a garantia estendida como forma de proteção pois no passado também tive problemas semelhantes com uma outra geladeira dessa marca. Espero que estas observações cheguem ao fabricante.",positivo + negativo,Yes,Eletrodomésticos,1939,M,3
555b407252e0cfc2691345f7113f07055fb77d02e2447f04f0b25ee495132f10,atenda a expectativa para o fim a que se destina é valioso    Seria muita pretansão fazer um curso completo. Trocado em miudos é um ótimo quebra-galho,positivo + negativo,Yes,Livros,1940,M,3
09c776551f3fee4e45a46d425f28ebef43403f61d4d7d2fa041c739dca7257bb,"Bom, mas... Cheiro agradável, mas a embalagem é muito pequena, evapora rápido...",positivo + negativo,Yes,Decoração,1940,F,3
5ac61a16fbab1d62bf5ff0e04fe5e171ba987ad765c478c3d0e2f6ca04d96b49,"Gostei com ressalvas O produto é realmente muito bom, mas aqui na empresa o nosso programa de gestão está rodando muito lento, mais lento do que nas outras maquinas que são mais antigas e com tecnologia superadas. Talvez ele seja indicado mais para uso domestico.  Pretendia comprar um i5, mas estou avaliando esse problema.",positivo + negativo,No,Informática,1940,M,3
58b1d1d2998cdfdc9b769117fb176979179e81f177e9654a290f83bd5dad706f,"teclado atendimento excelente de Americanas.com , quanto as informações, acompanhamento e pós venda.  Fiquei tranquilo quanto a segurança também.  Estou satisfeito.",positivo,Yes,Brinquedos,1940,M,3
e7d0f4c97ce516625d3c7150c4e7a3922d9b14b6a31fe6820f8e04b707cd12a6,Adorei o produto além de ser linda Comprei para minha esposa que já estava namorando faz tempo uma rs,positivo,Yes,Eletroportáteis,1941,M,3
081e92708671cf0ec1fa17892c8225271e3310b16b2b8f9feea206dac77849d5,Gostei do produto. Produto até o momento funcionando lega e esta seu funcionamento datisfatoriol,positivo,Yes,Informática e Acessórios,1941,M,3
caec2f3f470d5dc4bc0c542561c5df7ea3415b90a7c638319d4254e889933fdf,"Bom steadycam de nível semiprofissional Um recurso útil para vídeos de externas e para quaisquer outras aplicações com câmera em movimento. Exige treinamento e habilidades especiais do usuário. Não é uma ""fórmula mágica"" para estabilização de imagem. Requer uma fase inicial de preparação. Para isso existem vários tutoriais no youtube. Além disso exige algum preparo físico do cinegrafista. Também não pode ser confundido com os steadycam profissionais de cinema. Enfim, um bom recurso para o nível recomendado.",positivo,Yes,Câmeras e Filmadoras,1942,M,3
b9f4a0d22df232855f06e607fa78a7b9ce5af34a248c74289c768e74cdd2d8d1,Já tinha ele no carro e foi bom. Usaria novamente. É um pneu barato e condiz com o uso.,positivo,Yes,Automotivo,1942,M,3
90462c184ba52689ba9987504cc2a090bde9e74692cef0b5f00df90bf0c4d06f,poderia ser mais completo seria mais adaptável se a tensão fosse bivolt  127 e 220 volts.,positivo + negativo,Yes,Esporte e Lazer,1942,M,3
59e3db33bb199ae1db45358fa4241982633be6afae17ae68a6a8053478172b90,BATERIA ESTACIONÁRIA FREEDOM RECENTEMENTE INSTALADA. NÃO É POSSÍVEL AINDA AVALIAR A QUALIDADE DO PRODUTO,neutro,Yes,Automotivo,1943,M,3
71a238b3b03bded7028245695e29a98fb66380b86df956d073238748ecb05fa8,Bom aparelho. Produto de boa qualidade e desempenho. Chegou dentro do prazo. Não me arrependo da compra.,positivo,Yes,Celulares e Smartphones,1943,F,3
c38fa260f598967d2ff72aefb5329cf5db91aa81a1cd8822105a9dcf43e2f667,"compra produto muito bom, gostei, chegou no prazo certo que foi indicado, foi uma compra satisfatória.",positivo,Yes,Casa e Construção,1943,M,3
4d169f9dee826f0297aa1ffcc4c797b1413be7bdcb10a36e3f15436c27828ab8,"Produto de boa aceitação. Achei um pouco frágil, entretanto, fez a felicidade da minha filhinha. Isso, pra mim, é o que interessa.",positivo + negativo,Yes,Brinquedos,1943,M,3
8ca7ad15bec6fe6c8a9bd2c3663b94b5074bda03545eb3c17a23437e04e125cd,"Vassoura/aspirador Custo/beneficio bom, mas um pouco barulhento. ggg g g g g g g g g g g",positivo + negativo,Yes,Eletroportáteis,1943,M,3
9fcab778e55965cc82bc0ef3af1829dd1d18249d0fafe9d9c7c1ebee7eb29d4c,"agora ja posso avaliar, pois foi colocado hoje, gostei... gostei;;;;;;;;;;;;;;;;;  SO COLOQUEI HOJE, ENTAO POSSO AVALIAR SO HOJE, GOSTEI, FICOU OTIMO....",positivo,Yes,TV e Home Theater,1944,F,3
9e66695ef97fa15f8fe20375f1d85c9ca55f446755bafd28a58f89108083cdb1,"Desta vez não gostei muito, pois a sandália veio com a cor diferente da pedida. O produto demorou muito a chegar (cerca de 30 dias). Veio com a cor errada (pedi marrom claro e veio marrom escuro). É só checar o meu pedido. Mais vou ficar com ele mesmo assim. No mais é um produto normal sem maiores adjetivos.",negativo,Yes,Moda,1944,M,3
